"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EMPAGE","25_54","PC_AGE","A","1979",70.71983,
"AUS","EMPAGE","25_54","PC_AGE","A","1980",71.19049,
"AUS","EMPAGE","25_54","PC_AGE","A","1981",71.39142,
"AUS","EMPAGE","25_54","PC_AGE","A","1982",70.63979,
"AUS","EMPAGE","25_54","PC_AGE","A","1983",68.88377,
"AUS","EMPAGE","25_54","PC_AGE","A","1984",70.02629,
"AUS","EMPAGE","25_54","PC_AGE","A","1985",71.06119,
"AUS","EMPAGE","25_54","PC_AGE","A","1986",72.67167,
"AUS","EMPAGE","25_54","PC_AGE","A","1987",72.94643,
"AUS","EMPAGE","25_54","PC_AGE","A","1988",74.20647,
"AUS","EMPAGE","25_54","PC_AGE","A","1989",75.5411,
"AUS","EMPAGE","25_54","PC_AGE","A","1990",76.03415,
"AUS","EMPAGE","25_54","PC_AGE","A","1991",74.26691,
"AUS","EMPAGE","25_54","PC_AGE","A","1992",73.28902,
"AUS","EMPAGE","25_54","PC_AGE","A","1993",72.84747,
"AUS","EMPAGE","25_54","PC_AGE","A","1994",73.6044,
"AUS","EMPAGE","25_54","PC_AGE","A","1995",75.04407,
"AUS","EMPAGE","25_54","PC_AGE","A","1996",74.98886,
"AUS","EMPAGE","25_54","PC_AGE","A","1997",74.90452,
"AUS","EMPAGE","25_54","PC_AGE","A","1998",75.13912,
"AUS","EMPAGE","25_54","PC_AGE","A","1999",75.49137,
"AUS","EMPAGE","25_54","PC_AGE","A","2000",76.22829,
"AUS","EMPAGE","25_54","PC_AGE","A","2001",76.28022,
"AUS","EMPAGE","25_54","PC_AGE","A","2002",76.7261,
"AUS","EMPAGE","25_54","PC_AGE","A","2003",77.2747,
"AUS","EMPAGE","25_54","PC_AGE","A","2004",77.45007,
"AUS","EMPAGE","25_54","PC_AGE","A","2005",78.76469,
"AUS","EMPAGE","25_54","PC_AGE","A","2006",79.17829,
"AUS","EMPAGE","25_54","PC_AGE","A","2007",79.92666,
"AUS","EMPAGE","25_54","PC_AGE","A","2008",80.31086,
"AUS","EMPAGE","25_54","PC_AGE","A","2009",79.15042,
"AUS","EMPAGE","25_54","PC_AGE","A","2010",79.46227,
"AUS","EMPAGE","25_54","PC_AGE","A","2011",79.8016,
"AUS","EMPAGE","25_54","PC_AGE","A","2012",79.45096,
"AUS","EMPAGE","25_54","PC_AGE","A","2013",79.1446,
"AUS","EMPAGE","25_54","PC_AGE","A","2014",78.79925,
"AUS","EMPAGE","25_54","PC_AGE","A","2015",79.30939,
"AUS","EMPAGE","25_54","PC_AGE","A","2016",79.68585,
"AUS","EMPAGE","25_54","PC_AGE","A","2017",80.2253,
"AUS","EMPAGE","25_54","PC_AGE","A","2018",80.96532,
"AUS","EMPAGE","25_54","PC_AGE","A","2019",81.55131,
"AUS","EMPAGE","25_54","PC_AGE","A","2020",80.11917,
"AUS","EMPAGE","55_64","PC_AGE","A","1979",43.43592,
"AUS","EMPAGE","55_64","PC_AGE","A","1980",43.5891,
"AUS","EMPAGE","55_64","PC_AGE","A","1981",42.51108,
"AUS","EMPAGE","55_64","PC_AGE","A","1982",40.88751,
"AUS","EMPAGE","55_64","PC_AGE","A","1983",39.08059,
"AUS","EMPAGE","55_64","PC_AGE","A","1984",38.9337,
"AUS","EMPAGE","55_64","PC_AGE","A","1985",38.15841,
"AUS","EMPAGE","55_64","PC_AGE","A","1986",39.36725,
"AUS","EMPAGE","55_64","PC_AGE","A","1987",39.36246,
"AUS","EMPAGE","55_64","PC_AGE","A","1988",39.77102,
"AUS","EMPAGE","55_64","PC_AGE","A","1989",40.89209,
"AUS","EMPAGE","55_64","PC_AGE","A","1990",41.50192,
"AUS","EMPAGE","55_64","PC_AGE","A","1991",40.14863,
"AUS","EMPAGE","55_64","PC_AGE","A","1992",39.34028,
"AUS","EMPAGE","55_64","PC_AGE","A","1993",38.56488,
"AUS","EMPAGE","55_64","PC_AGE","A","1994",40.29091,
"AUS","EMPAGE","55_64","PC_AGE","A","1995",41.60622,
"AUS","EMPAGE","55_64","PC_AGE","A","1996",42.2831,
"AUS","EMPAGE","55_64","PC_AGE","A","1997",42.71225,
